#1
float HeatingLoadProfiles(52561,10)
# time,bld1 (W),bld2 (W),bld3 (W),bld4 (W),bld5 (W),bld6 (W),bld7 (W),bld8 (W),District (W)
0,6717.009277,6717.009277,6717.010742,6717.011719,6717.009277,6717.009277,6717.010742,6717.010742,53736.08105
600,5563.949219,5563.949219,5563.950684,5563.952148,5563.949219,5563.949219,5563.950684,5563.950684,44511.60107
1200,5396.577637,5396.577637,5396.579102,5396.580078,5396.577637,5396.577637,5396.579102,5396.579102,43172.62793
1800,5287.725098,5287.725098,5287.726563,5287.728027,5287.725098,5287.725098,5287.726563,5287.726563,42301.80811
2400,5213.000488,5213.000488,5213.001953,5213.00293,5213.000488,5213.000488,5213.001953,5213.001953,41704.01074
3000,5160.500977,5160.500977,5160.502441,5160.503418,5160.500977,5160.500977,5160.502441,5160.502441,41284.01465
3600,5123.58252,5123.58252,5123.583984,5123.585449,5123.58252,5123.58252,5123.583984,5123.583984,40988.66748
4200,5097.736328,5097.736328,5097.737793,5097.739258,5097.736328,5097.736328,5097.737793,5097.737793,40781.89795
4800,5079.644531,5079.644531,5079.645996,5079.646973,5079.644531,5079.644531,5079.645996,5079.645996,40637.16309
5400,5067.336914,5067.336914,5067.337891,5067.339355,5067.336914,5067.336914,5067.337891,5067.337891,40538.70068
6000,5059.367188,5059.367188,5059.368652,5059.370117,5059.367188,5059.367188,5059.368652,5059.368652,40474.94482
6600,5054.684082,5054.684082,5054.685547,5054.686523,5054.684082,5054.684082,5054.685547,5054.685547,40437.47949
7200,5052.505371,5052.505371,5052.506348,5052.507813,5052.505371,5052.505371,5052.506348,5052.506348,40420.04834
7800,5052.609863,5052.609863,5052.61084,5052.612305,5052.609863,5052.609863,5052.61084,5052.61084,40420.88428
8400,5054.836914,5054.836914,5054.837891,5054.839355,5054.836914,5054.836914,5054.837891,5054.837891,40438.70068
9000,5058.37207,5058.37207,5058.373047,5058.374512,5058.37207,5058.37207,5058.373047,5058.373047,40466.98193
9600,5062.307129,5062.307129,5062.308105,5062.30957,5062.307129,5062.307129,5062.308105,5062.308105,40498.4624
10200,5065.671875,5065.671875,5065.67334,5065.674316,5065.671875,5065.671875,5065.67334,5065.67334,40525.38184
10800,5067.507813,5067.507813,5067.508789,5067.510254,5067.507813,5067.507813,5067.508789,5067.508789,40540.06787
11400,5067.645508,5067.645508,5067.646484,5067.647461,5067.645508,5067.645508,5067.646484,5067.646484,40541.16895
12000,5066.757324,5066.757324,5066.758301,5066.759277,5066.757324,5066.757324,5066.758301,5066.758301,40534.06348
12600,5065.016602,5065.016602,5065.018066,5065.019043,5065.016602,5065.016602,5065.018066,5065.018066,40520.13965
13200,5062.611816,5062.611816,5062.612793,5062.61377,5062.611816,5062.611816,5062.612793,5062.612793,40500.89941
13800,5059.750488,5059.750488,5059.751465,5059.75293,5059.750488,5059.750488,5059.751465,5059.751465,40478.00928
14400,5056.649902,5056.649902,5056.650879,5056.651855,5056.649902,5056.649902,5056.650879,5056.650879,40453.2041
15000,5053.570313,5053.570313,5053.571289,5053.572266,5053.570313,5053.570313,5053.571289,5053.571289,40428.56738
15600,5050.592773,5050.592773,5050.59375,5050.594727,5050.592773,5050.592773,5050.59375,5050.59375,40404.74707
16200,5047.582031,5047.582031,5047.583008,5047.583984,5047.582031,5047.582031,5047.583008,5047.583008,40380.66113
16800,5044.293945,5044.293945,5044.294922,5044.295898,5044.293945,5044.293945,5044.294922,5044.294922,40354.35645
17400,5040.50293,5040.50293,5040.503906,5040.504883,5040.50293,5040.50293,5040.503906,5040.503906,40324.02832
18000,5035.993652,5035.993652,5035.994629,5035.995605,5035.993652,5035.993652,5035.994629,5035.994629,40287.9541
18600,5030.572754,5030.572754,5030.57373,5030.574707,5030.572754,5030.572754,5030.57373,5030.57373,40244.58691
19200,5024.166504,5024.166504,5024.16748,5024.167969,5024.166504,5024.166504,5024.16748,5024.16748,40193.33643
19800,5016.862305,5016.862305,5016.863281,5016.864258,5016.862305,5016.862305,5016.863281,5016.863281,40134.90332
20400,5008.845215,5008.845215,5008.846191,5008.847168,5008.845215,5008.845215,5008.846191,5008.846191,40070.7666
21000,5000.394043,5000.394043,5000.39502,5000.395996,5000.394043,5000.394043,5000.39502,5000.39502,40003.15723
21600,4991.860352,4991.860352,4991.861328,4991.862305,4991.860352,4991.860352,4991.861328,4991.861328,39934.8877
22200,4983.523438,4983.523438,4983.524414,4983.524902,4983.523438,4983.523438,4983.524414,4983.524414,39868.19189
22800,4975.380859,4975.380859,4975.381836,4975.382813,4975.380859,4975.380859,4975.381836,4975.381836,39803.05176
23400,4967.250488,4967.250488,4967.251465,4967.252441,4967.250488,4967.250488,4967.251465,4967.251465,39738.00879
24000,4958.910156,4958.910156,4958.911133,4958.912109,4958.910156,4958.910156,4958.911133,4958.911133,39671.28613
24600,4950.160645,4950.160645,4950.161621,4950.162109,4950.160645,4950.160645,4950.161621,4950.161621,39601.28955
25200,2470.430664,2470.430664,2470.430908,2470.431396,2470.430664,2470.430664,2470.430908,2470.430908,19763.44678
25800,0,0,0,0,0,0,0,0,0
26400,0,0,0,0,0,0,0,0,0
27000,0,0,0,0,0,0,0,0,0
27600,0,0,0,0,0,0,0,0,0
28200,0,0,0,0,0,0,0,0,0
28800,0,0,0,0,0,0,0,0,0
29400,0,0,0,0,0,0,0,0,0
30000,0,0,0,0,0,0,0,0,0
30600,0,0,0,0,0,0,0,0,0
31200,0,0,0,0,0,0,0,0,0
31800,0,0,0,0,0,0,0,0,0
32400,0,0,0,0,0,0,0,0,0
33000,0,0,0,0,0,0,0,0,0
33600,0,0,0,0,0,0,0,0,0
34200,0,0,0,0,0,0,0,0,0
34800,0,0,0,0,0,0,0,0,0
35400,0,0,0,0,0,0,0,0,0
36000,0,0,0,0,0,0,0,0,0
36600,0,0,0,0,0,0,0,0,0
37200,0,0,0,0,0,0,0,0,0
37800,0,0,0,0,0,0,0,0,0
38400,0,0,0,0,0,0,0,0,0
39000,0,0,0,0,0,0,0,0,0
39600,0,0,0,0,0,0,0,0,0
40200,0,0,0,0,0,0,0,0,0
40800,0,0,0,0,0,0,0,0,0
41400,0,0,0,0,0,0,0,0,0
42000,0,0,0,0,0,0,0,0,0
42600,0,0,0,0,0,0,0,0,0
43200,0,0,0,0,0,0,0,0,0
43800,0,0,0,0,0,0,0,0,0
44400,0,0,0,0,0,0,0,0,0
45000,0,0,0,0,0,0,0,0,0
45600,0,0,0,0,0,0,0,0,0
46200,0,0,0,0,0,0,0,0,0
46800,0,0,0,0,0,0,0,0,0
47400,0,0,0,0,0,0,0,0,0
48000,0,0,0,0,0,0,0,0,0
48600,0,0,0,0,0,0,0,0,0
49200,0,0,0,0,0,0,0,0,0
49800,0,0,0,0,0,0,0,0,0
50400,0,0,0,0,0,0,0,0,0
51000,0,0,0,0,0,0,0,0,0
51600,0,0,0,0,0,0,0,0,0
52200,0,0,0,0,0,0,0,0,0
52800,0,0,0,0,0,0,0,0,0
53400,0,0,0,0,0,0,0,0,0
54000,0,0,0,0,0,0,0,0,0
54600,0,0,0,0,0,0,0,0,0
55200,0,0,0,0,0,0,0,0,0
55800,0,0,0,0,0,0,0,0,0
56400,0,0,0,0,0,0,0,0,0
57000,0,0,0,0,0,0,0,0,0
57600,0,0,0,0,0,0,0,0,0
58200,0,0,0,0,0,0,0,0,0
58800,0,0,0,0,0,0,0,0,0
59400,0,0,0,0,0,0,0,0,0
60000,0,0,0,0,0,0,0,0,0
60600,0,0,0,0,0,0,0,0,0
61200,9673.639648,9673.639648,9673.639648,9673.639648,9673.639648,9673.639648,9673.639648,9673.639648,77389.11719
61800,10636.17285,10636.17285,10636.17285,10636.17383,10636.17285,10636.17285,10636.17285,10636.17285,85089.38379
62400,10598.3125,10598.3125,10598.3125,10598.3125,10598.3125,10598.3125,10598.3125,10598.3125,84786.5
63000,10594.72363,10594.72363,10594.72363,10594.72461,10594.72363,10594.72363,10594.72363,10594.72363,84757.79004
63600,10597.47559,10597.47559,10597.47559,10597.47559,10597.47559,10597.47559,10597.47559,10597.47559,84779.80469
