"           TIME(S)","              HEAT","            FLOW_G","            FLOW_L","      FLOW_G_WATER","        FLOW_G_AIR","      FLOW_L_WATER","        FLOW_L_AIR"
  0.72270005859E+005,  0.36281166686E+001,  0.30260547228E-004,  0.00000000000E+000,  0.31897712932E-006,  0.48479304608E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270017578E+005,  0.36282034506E+001,  0.30261274053E-004,  0.00000000000E+000,  0.31898478761E-006,  0.48480469247E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270029297E+005,  0.36282472577E+001,  0.30261640947E-004,  0.00000000000E+000,  0.31898865344E-006,  0.48481057221E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270052734E+005,  0.36282794002E+001,  0.30261910136E-004,  0.00000000000E+000,  0.31899148982E-006,  0.48481488706E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270099609E+005,  0.36282940707E+001,  0.30262032973E-004,  0.00000000000E+000,  0.31899278417E-006,  0.48481685678E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270193359E+005,  0.36282922796E+001,  0.30262017902E-004,  0.00000000000E+000,  0.31899262550E-006,  0.48481661609E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270380859E+005,  0.36282768509E+001,  0.30261888542E-004,  0.00000000000E+000,  0.31899126275E-006,  0.48481454325E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270755859E+005,  0.36282454606E+001,  0.30261625357E-004,  0.00000000000E+000,  0.31898849021E-006,  0.48481032526E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270767578E+005,  0.36282444801E+001,  0.30261617136E-004,  0.00000000000E+000,  0.31898840360E-006,  0.48481019350E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270791016E+005,  0.36282425239E+001,  0.30261600736E-004,  0.00000000000E+000,  0.31898823083E-006,  0.48480993064E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270837891E+005,  0.36282386350E+001,  0.30261568129E-004,  0.00000000000E+000,  0.31898788733E-006,  0.48480940806E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270931641E+005,  0.36282309114E+001,  0.30261503371E-004,  0.00000000000E+000,  0.31898720514E-006,  0.48480837016E-009,  0.00000000000E+000,  0.00000000000E+000
  0.72270943359E+005,  0.36282299467E+001,  0.30261495283E-004,  0.00000000000E+000,  0.31898711993E-006,  0.48480824053E-009,  0.00000000000E+000,  0.00000000000E+000
