Time_Te,Te,Time_Ns,Ns,Time_Ia,Ia,Time_KW,KW
0.00177322,2.200414246,0.003908611,-2.556583202,0,10.70145563,0.000381488,1.97150494
0.003013567,8.605064202,0.006780919,0.306789984,0.001,9.544070732,0.000381488,0.761538829
0.003998172,15.98398759,0.011550462,27.68779607,0.002,20.34903946,0.000758956,6.660123622
0.004281619,23.09272313,0.015834215,63.65892172,0.003,38.34969183,0.000758956,5.475365138
0.004893268,30.40642876,0.023020287,64.01684337,0.004,54.72475492,0.000758956,4.341021908
0.004992723,37.81640823,0.030684613,65.44852996,0.005,66.39849157,0.000758956,3.156263424
0.005877873,45.16427554,0.03544927,99.0931649,0.006,86.07393223,0.001136425,11.51889379
0.005922628,52.71090174,0.041184951,116.273404,0.007514451,94.89795918,0.001136425,9.098961565
0.006021088,59.78236999,0.043102986,114.1258741,0.009,85.83257851,0.001136425,7.945712615
0.006852533,74.71102518,0.04981639,106.2515979,0.01,71.85275623,0.001513893,18.68416185
0.006852533,67.33210179,0.054582723,137.7487029,0.011,56.32672736,0.001513893,16.28943726
0.006907233,81.91914016,0.056494058,144.1912926,0.012,29.93828071,0.001513893,13.89471266
0.007399536,89.60551869,0.061271558,161.3715317,0.013,6.854238174,0.001513893,12.73516181
0.007847083,104.1956627,0.063189594,159.2240018,0.014,-18.63666523,0.001513893,10.22700289
0.007847083,96.5372346,0.069901881,152.7814121,0.015,-40.64249609,0.002268829,22.24347883
0.007891838,111.7422889,0.072293144,158.1502369,0.016,-58.54809249,0.002268829,21.07888645
0.008384141,118.8137571,0.075626394,184.2785172,0.017,-70.09103537,0.003076923,25.85616438
0.008876443,133.879059,0.077538846,189.2894203,0.018,-73.40124111,0.004102564,29.45205479
0.008876443,126.5001356,0.082315788,207.1855027,0.019,-68.70909623,0.004102564,31.19863014
0.009040544,140.8480422,0.084714309,203.2483645,0.02,-59.10958897,0.005288573,31.96353993
0.009861049,148.6369058,0.093810042,212.1964057,0.021,-39.52473649,0.008205128,30.68493151
0.009905803,155.5686217,0.099535672,242.2618242,0.022,-18.58124267,0.009230769,27.70547945
0.010025149,163.0531358,0.106232324,255.8628468,0.023,4.910330991,0.010950594,23.08919473
